x;y;z;State_predicted
-38.606815069;-55.058369006;131.696366338;broken
-42.555188014;-53.359505538;140.028827976;broken
-45.14822422;-48.587987713;147.122633063;broken
-45.973767458;-41.166167927;151.277987113;broken
-44.819943571;-32.490294032;151.632269236;broken
-41.860827682;-24.316240878;148.453576887;broken
-37.650126849;-17.961072837;142.778936512;broken
-32.924753886;-13.924641476;135.7858324;broken
-28.364726907;-12.046500265;128.380722436;broken
-24.448352513;-11.875663973;121.117685181;broken
-21.430907264;-12.960612666;114.296292859;broken
-19.39803656;-14.983527862;108.087377829;broken
-18.338554473;-17.78500929;102.626064511;broken
-18.205703629;-21.338332011;98.071153149;broken
-18.957534441;-25.706642514;94.647183534;broken
-20.577320378;-30.991482094;92.681967078;broken
-23.07671919;-37.263744862;92.641113346;broken
-26.481605351;-44.456515559;95.142149418;broken
-30.795583801;-52.195876964;100.897422287;broken
-35.93165416;-59.569033542;110.487059384;broken
-41.604625212;-64.921435919;123.845615027;broken
-47.200659781;-65.970782125;139.509391313;broken
-51.705489144;-60.682226208;154.193523602;broken
-53.859906039;-48.910522638;163.754936402;broken
-52.672054023;-33.452950923;165.624186256;broken
-48.059469279;-18.719739927;160.454866477;broken
-41.017934234;-7.920129378;151.073175214;broken
-33.074461069;-1.75170566;140.256538563;broken
-25.556999771;0.768230811;129.626980953;broken
-19.238944431;1.012496134;119.79233152;broken
-14.378598696;0.060277994;110.840903729;broken
-10.91326829;-1.438298799;102.690355243;broken
-8.639275612;-3.176048383;95.242318776;broken
-7.328101077;-5.071052788;88.428181807;broken
-6.786409488;-7.178888865;82.215295268;broken
-6.880604538;-9.641669331;76.607277331;broken
-7.543260089;-12.665885367;71.651603831;broken
-8.772690155;-16.519174447;67.460958204;broken
-10.631846385;-21.536155392;64.255626092;broken
-13.248880547;-28.120198913;62.438361928;broken
-16.817996955;-36.716160757;62.716235809;broken
-21.593556267;-47.700100554;66.273541977;broken
-27.859126896;-61.075661565;74.937234356;broken
-30.51644967;-49.128194274;85.3323179;broken
2.08;3.37536;3.970832657;healthy
2.1836288;3.768123375;3.951947022;healthy
2.310388366;4.182461122;3.944943695;healthy
2.460154186;4.622434613;3.951760111;healthy
2.633136621;5.092033545;3.974720056;healthy
2.829848375;5.595200472;4.016594579;healthy
3.051076542;6.135840514;4.080674581;healthy
3.29785766;6.717814034;4.170855346;healthy
3.57145417;7.344909106;4.291733148;healthy
3.873330565;8.02078947;4.448713527;healthy
4.205127277;8.748912412;4.64812996;healthy
4.568630088;9.532409561;4.897370279;healthy
4.965732446;10.373922109;5.205006019;healthy
5.398387619;11.275380438;5.580916884;healthy
5.868547045;12.237716946;6.036398265;healthy
6.378080637;13.260500194;6.584234085;healthy
6.928674201;14.341479111;7.238709915;healthy
7.521698594;15.47602861;8.015532284;healthy
8.158044995;16.656493876;8.931609674;healthy
8.837920906;17.871441329;10.004639747;healthy
9.56060254;19.104841693;11.252437817;healthy
10.324141672;20.335236597;12.691936719;healthy
11.125029266;21.53497592;14.337793301;healthy
11.957824998;22.669658327;16.200558833;healthy
12.814771665;23.697958215;18.284418299;healthy
13.685426589;24.572069591;20.584584745;healthy
14.556358029;25.239024549;23.084553158;healthy
15.41097135;25.643126836;25.753566635;healthy
16.229543789;25.729650531;28.544801133;healthy
16.989552329;25.449765908;31.394886413;healthy
17.666369415;24.766365241;34.225382895;healthy
18.234369081;23.660106884;36.946658365;healthy
18.668428105;22.134665641;39.464218299;healthy
18.945727108;20.220004704;41.686976506;healthy
19.047669316;17.972604648;43.536344181;healthy
18.961664142;15.472064288;44.954577531;healthy
18.682496154;12.814257137;45.910765021;healthy
18.213037033;10.102067667;46.403250028;healthy
17.564159483;7.435350178;46.458079438;healthy
16.753854739;4.901915523;46.123981588;healthy
15.805699602;2.57100253;45.465095263;healthy
14.746923836;0.489983073;44.552979176;healthy
13.606368575;-1.315744277;43.459295607;healthy
12.412599547;-2.840338688;42.250116074;healthy
11.192364488;-4.093555923;40.982247705;healthy
9.969490855;-5.096218674;39.70150611;healthy
8.764234093;-5.875886835;38.442559465;healthy
7.593024419;-6.463204612;37.229849366;healthy
6.468526096;-6.889127147;36.079112589;healthy
5.399913837;-7.183026225;34.999123073;healthy
4.393278632;-7.371554798;33.99339276;healthy
3.452091957;-7.478100303;33.061679662;healthy
2.577676577;-7.522654485;32.201236067;healthy
1.769650092;-7.521950992;31.407786594;healthy
1.026322005;-7.489755275;30.676258609;healthy
0.345035823;-7.437224473;30.001302887;healthy
-0.277545001;-7.373283065;29.377646435;healthy
-0.845204046;-7.304981661;28.800316912;healthy
-1.361986255;-7.237821643;28.26477266;healthy
-1.832053086;-7.176038449;27.76696591;healthy
